#period	period time	calc time
1	4008	2500
2	3496	3251
3	4248	2750
4	3745	2501
5	3248	2751
6	3497	2506
7	3498	2505
8	3238	2499
9	3248	2260
10	3256	2251
11	3253	2748
12	3495	2749
13	3495	2502
14	3247	2501
15	3259	2743
16	3485	2754
17	3500	2494
18	3491	2764
19	3751	2488
20	3246	2497
21	3247	2500
22	3497	2501
23	3498	2499
24	3497	2750
25	3503	2494
26	3488	2501
27	3496	305586
28	306825	4009
29	5007	2753
30	3498	2499
31	3496	2753
32	3740	2515
33	3255	2745
34	3498	2754
35	3486	2750
36	3748	2506
37	3503	2756
38	3502	2495
39	3498	2495
40	3500	2503
41	3493	2505
42	3498	2498
43	3498	2492
44	3489	2760
45	3501	2506
46	3502	2497
47	3494	315831
48	316826	2750
49	3744	3011
50	3738	2747
51	3747	2499
52	3257	2736
53	3502	2742
54	3744	2750
55	3497	2499
56	3497	2755
57	3499	2501
58	3497	2739
59	3736	2502
60	3499	2748
61	3497	2511
62	3506	2751
63	3498	2502
64	3495	3751
65	4498	2497
66	3503	2748
67	3732	2752
68	3499	2512
69	3497	337832
