#signal	response time
0	1061
1	914
2	1197
3	1174
4	1425
5	928
6	1170
7	1181
8	1179
9	1179
10	1171
11	1178
12	1426
13	1174
14	1176
15	1178
16	1424
17	1178
18	926
19	1176
20	1178
21	1177
22	1177
23	928
24	1176
25	1178
26	1176
27	1177
28	929
29	927
30	1175
31	1177
32	1175
33	1182
34	1176
35	1178
36	1172
37	1177
38	1178
39	1176
40	1175
41	1179
42	1177
43	1174
44	1428
45	927
46	1175
47	1181
48	1429
49	1177
50	1421
51	1181
52	1178
53	922
54	1178
55	1420
56	1189
57	932
58	1177
59	1180
60	1178
61	1182
62	1175
63	1180
64	1179
65	1175
66	930
67	1181
68	1176
69	928
70	1179
71	1178
72	929
73	1178
74	1431
75	1180
76	927
77	925
78	1182
79	1179
80	1180
81	1180
82	1176
83	1182
84	1181
85	1178
86	928
87	1182
88	1180
89	1426
90	1179
91	1183
92	1424
93	1175
94	1176
95	1175
96	1182
97	1179
98	1181
99	1180
100	1177
101	1183
102	1179
103	1179
104	1176
105	926
106	1182
107	930
108	1179
109	1182
110	1174
111	1181
112	930
113	1179
114	1177
115	1180
116	1183
117	1180
118	931
119	925
120	1181
121	1180
122	1182
123	1177
124	1179
125	1429
126	1204
127	922
128	928
129	939
130	926
131	1180
132	1180
133	1181
134	1177
135	931
136	933
137	928
138	1178
139	1181
140	1180
141	1181
142	1174
143	1180
144	930
145	1176
146	1180
147	1181
148	1180
149	1168
150	1191
151	1181
152	930
153	1434
154	1173
155	1182
156	1180
157	1427
158	1178
159	1175
160	1433
161	930
162	930
163	1176
164	1431
165	1180
166	1180
167	1178
168	927
169	1181
170	1181
171	1179
172	934
173	1177
174	1180
175	1178
176	932
177	926
178	1183
179	1181
180	1181
181	1180
